iter	Passed	Remaining
0	0	66
1	1	62
2	1	59
3	2	54
4	2	54
5	3	53
6	3	53
7	4	52
8	5	54
9	6	54
10	6	53
11	7	52
12	7	52
13	8	51
14	8	50
15	9	50
16	10	49
17	10	48
18	11	48
19	12	48
20	12	47
21	13	47
22	14	47
23	14	46
24	15	46
25	16	45
26	16	45
27	17	44
28	18	44
29	18	43
30	19	43
31	20	42
32	20	42
33	21	41
34	21	40
35	22	40
36	23	39
37	23	38
38	24	38
39	25	37
40	25	36
41	25	35
42	26	35
43	27	34
44	27	33
45	28	33
46	28	32
47	29	31
48	30	31
49	30	30
50	31	29
51	31	29
52	32	28
53	33	28
54	33	27
55	34	26
56	34	26
57	35	25
58	35	24
59	36	24
60	37	23
61	37	23
62	38	22
63	38	21
64	39	21
65	40	20
66	40	20
67	41	19
68	42	18
69	42	18
70	43	17
71	43	17
72	44	16
73	45	15
74	45	15
75	46	14
76	47	14
77	47	13
78	48	12
79	48	12
80	49	11
81	50	10
82	50	10
83	51	9
84	51	9
85	52	8
86	52	7
87	53	7
88	54	6
89	54	6
90	55	5
91	55	4
92	56	4
93	56	3
94	57	3
95	58	2
96	58	1
97	59	1
98	60	0
99	60	0
