iter	Passed	Remaining
0	140	140034
1	140	70251
2	141	46990
3	141	35357
4	142	28380
5	143	23727
6	143	20396
7	144	17898
8	144	15960
9	145	14414
10	146	13144
11	146	12087
12	147	11211
13	148	10448
14	149	9795
15	149	9214
16	150	8704
17	151	8246
18	151	7834
19	152	7468
20	152	7131
21	153	6823
22	154	6542
23	154	6286
24	155	6050
25	155	5831
26	156	5628
27	156	5441
28	157	5266
29	157	5101
30	158	4948
31	158	4804
32	159	4669
33	159	4541
34	160	4421
35	160	4308
36	161	4205
37	162	4115
38	163	4024
39	164	3939
40	164	3854
41	165	3772
42	166	3708
43	167	3633
44	167	3561
45	168	3490
46	168	3423
47	169	3359
48	169	3297
49	170	3238
50	170	3181
51	171	3126
52	172	3073
53	172	3022
54	173	2973
55	173	2928
56	174	2883
57	175	2842
58	175	2801
59	176	2761
60	176	2724
61	177	2689
62	178	2653
63	179	2619
64	179	2586
65	180	2552
66	181	2521
67	181	2489
68	182	2458
69	182	2427
70	183	2397
71	183	2368
72	184	2340
73	184	2313
74	185	2286
75	185	2260
76	186	2234
77	186	2210
78	187	2185
79	188	2162
80	188	2138
81	189	2117
82	189	2092
83	189	2071
84	190	2051
85	191	2033
86	191	2013
87	192	1996
88	193	1978
89	193	1961
90	194	1943
91	195	1926
92	195	1910
93	196	1894
94	197	1877
95	197	1861
96	198	1845
97	198	1829
98	199	1814
99	199	1799
100	200	1784
101	200	1769
102	201	1754
103	202	1740
104	202	1726
105	203	1712
106	203	1699
107	204	1686
108	204	1673
109	205	1660
110	206	1651
111	206	1640
112	207	1630
113	208	1620
114	209	1609
115	209	1598
116	210	1588
117	210	1577
118	211	1566
119	212	1554
120	212	1544
121	213	1533
122	213	1523
123	214	1514
124	215	1505
125	215	1495
126	216	1485
127	216	1475
128	217	1466
129	217	1457
130	218	1448
131	218	1439
132	219	1430
133	220	1422
134	220	1414
135	221	1407
136	222	1399
137	222	1392
138	223	1384
139	224	1376
140	224	1368
141	225	1359
142	225	1351
143	226	1344
144	226	1336
145	227	1328
146	227	1321
147	228	1313
148	228	1306
149	229	1299
150	229	1291
151	230	1285
152	231	1278
153	231	1272
154	232	1265
155	232	1258
156	233	1251
157	233	1246
158	234	1240
159	235	1235
160	235	1229
161	236	1223
162	237	1218
163	237	1212
164	238	1206
165	239	1201
166	239	1195
167	240	1189
168	240	1183
169	241	1178
170	241	1172
171	242	1166
172	242	1161
173	243	1156
174	244	1150
175	244	1145
176	245	1139
177	245	1134
178	246	1129
179	246	1124
180	247	1119
181	247	1114
182	248	1109
183	249	1104
184	249	1100
185	250	1096
186	251	1092
187	251	1087
188	252	1083
189	253	1079
190	253	1074
191	254	1070
192	254	1065
193	255	1060
194	255	1056
195	256	1051
196	256	1047
197	257	1042
198	257	1038
199	258	1033
200	258	1029
201	259	1025
202	260	1020
203	260	1017
204	261	1013
205	261	1009
206	262	1005
207	263	1001
208	263	997
209	264	994
210	265	991
211	265	988
212	266	985
213	267	981
214	268	978
215	268	975
216	269	971
217	269	967
218	270	964
219	271	960
220	271	957
221	272	953
222	272	950
223	273	946
224	273	943
225	274	939
226	274	936
227	275	932
228	276	929
229	276	926
230	277	923
231	277	919
232	278	916
233	279	913
234	279	910
235	280	908
236	281	905
237	281	902
238	282	899
239	282	896
240	283	892
241	284	889
242	284	886
243	285	883
244	285	880
245	286	877
246	286	874
247	287	871
248	287	868
249	288	865
250	289	862
251	289	859
252	290	856
253	290	854
254	291	851
255	291	848
256	292	845
257	292	842
258	293	840
259	294	837
260	295	835
261	295	833
262	296	830
263	296	827
264	297	825
265	298	822
266	298	819
267	299	817
268	299	814
269	300	812
270	300	809
271	301	807
272	302	804
273	302	801
274	303	799
275	303	796
276	304	794
277	304	791
278	305	789
279	305	786
280	306	784
281	307	781
282	307	779
283	308	776
284	308	774
285	309	772
286	310	770
287	310	767
288	311	765
289	311	763
290	312	761
291	313	759
292	313	756
293	314	754
294	314	752
295	315	749
296	315	747
297	316	745
298	316	743
299	317	740
300	318	738
301	318	736
302	319	734
303	319	731
304	320	729
305	320	727
306	321	725
307	321	723
308	322	721
309	323	719
310	324	718
311	324	716
312	325	713
313	325	712
314	326	710
315	327	708
316	327	706
317	328	704
318	328	702
319	329	700
320	330	698
321	330	696
322	331	694
323	331	692
324	332	690
325	332	688
326	333	686
327	333	684
328	334	682
329	335	680
330	335	678
331	336	676
332	336	674
333	337	672
334	338	671
335	338	669
336	339	668
337	340	666
338	340	664
339	341	662
340	342	661
341	342	659
342	343	657
343	343	655
344	344	653
345	344	651
346	345	649
347	345	647
348	346	646
349	347	644
350	347	642
351	348	640
352	348	639
353	349	637
354	349	635
355	350	633
356	350	631
357	351	630
358	352	628
359	352	627
360	353	626
361	354	624
362	354	622
363	355	621
364	356	619
365	356	618
366	357	616
367	358	614
368	358	613
369	359	611
370	359	610
371	360	608
372	360	606
373	361	605
374	362	603
375	362	601
376	363	599
377	363	598
378	364	596
379	364	594
380	365	593
381	365	591
382	366	590
383	367	589
384	367	587
385	368	586
386	369	584
387	369	583
388	370	581
389	371	580
390	371	578
391	372	577
392	372	576
393	373	574
394	374	573
395	374	571
396	375	570
397	375	568
398	376	566
399	376	565
400	377	564
401	378	562
402	378	560
403	379	559
404	379	557
405	380	556
406	380	554
407	381	553
408	382	552
409	382	550
410	383	549
411	384	548
412	384	546
413	385	545
414	386	544
415	386	542
416	387	541
417	387	539
418	388	538
419	388	536
420	389	535
421	389	533
422	390	532
423	390	531
424	391	529
425	392	528
426	392	526
427	393	525
428	393	523
429	394	522
430	394	521
431	395	519
432	396	518
433	397	517
434	397	516
435	398	515
436	399	514
437	400	513
438	400	511
439	401	510
440	401	509
441	402	507
442	402	506
443	403	505
444	404	503
445	404	502
446	405	501
447	405	499
448	406	498
449	406	497
450	407	495
451	407	494
452	408	492
453	408	491
454	409	490
455	409	489
456	410	487
457	411	486
458	412	485
459	412	484
460	413	483
461	414	482
462	414	480
463	415	479
464	415	478
465	416	477
466	416	475
467	417	474
468	418	473
469	418	472
470	419	470
471	419	469
472	420	468
473	420	466
474	421	465
475	421	464
476	422	463
477	423	462
478	423	460
479	424	459
480	425	458
481	425	457
482	426	456
483	427	455
484	427	454
485	428	453
486	428	451
487	429	450
488	430	449
489	431	448
490	431	447
491	432	446
492	432	445
493	433	443
494	434	442
495	434	441
496	435	440
497	435	439
498	436	437
499	436	436
500	437	435
501	437	434
502	438	433
503	439	432
504	439	430
505	440	429
506	440	428
507	441	427
508	442	426
509	442	425
510	443	424
511	444	423
512	444	422
513	445	421
514	445	419
515	446	418
516	446	417
517	447	416
518	448	415
519	448	414
520	449	412
521	449	411
522	450	410
523	450	409
524	451	408
525	451	407
526	452	406
527	453	405
528	453	403
529	454	402
530	454	401
531	455	400
532	456	399
533	456	398
534	457	397
535	458	396
536	458	395
537	459	394
538	460	393
539	460	392
540	461	391
541	461	390
542	462	389
543	462	388
544	463	386
545	464	385
546	464	384
547	465	383
548	465	382
549	466	381
550	466	380
551	467	379
552	468	378
553	468	377
554	469	376
555	469	375
556	470	374
557	471	373
558	471	372
559	472	371
560	473	370
561	473	369
562	474	368
563	475	367
564	475	366
565	476	365
566	476	364
567	477	363
568	478	362
569	478	361
570	479	360
571	479	359
572	480	358
573	481	357
574	481	356
575	482	354
576	482	353
577	483	352
578	483	351
579	484	350
580	485	349
581	485	349
582	486	348
583	487	347
584	487	346
585	488	345
586	489	344
587	489	343
588	490	342
589	491	341
590	491	340
591	492	339
592	493	338
593	493	337
594	494	336
595	494	335
596	495	334
597	496	333
598	496	332
599	497	331
600	497	330
601	498	329
602	499	328
603	499	327
604	500	326
605	501	326
606	502	325
607	502	324
608	503	323
609	503	322
610	504	321
611	505	320
612	506	319
613	506	318
614	507	317
615	507	316
616	508	315
617	509	314
618	509	313
619	510	312
620	510	311
621	511	310
622	511	309
623	512	308
624	513	307
625	513	307
626	514	306
627	515	305
628	516	304
629	517	303
630	517	302
631	518	301
632	519	301
633	519	300
634	520	299
635	521	298
636	521	297
637	522	296
638	523	295
639	523	294
640	524	293
641	525	292
642	525	291
643	526	290
644	526	289
645	527	288
646	527	287
647	528	286
648	528	286
649	529	285
650	530	284
651	530	283
652	531	282
653	532	281
654	532	280
655	533	279
656	534	278
657	534	277
658	535	276
659	535	275
660	536	275
661	536	274
662	537	273
663	537	272
664	538	271
665	538	270
666	539	269
667	539	268
668	540	267
669	541	266
670	541	265
671	542	264
672	542	263
673	543	262
674	544	262
675	544	261
676	545	260
677	546	259
678	546	258
679	547	257
680	548	256
681	548	255
682	549	254
683	549	254
684	550	253
685	551	252
686	551	251
687	552	250
688	552	249
689	553	248
690	553	247
691	554	246
692	554	245
693	555	244
694	555	243
695	556	242
696	556	242
697	557	241
698	558	240
699	559	239
700	559	238
701	560	237
702	561	237
703	561	236
704	562	235
705	563	234
706	563	233
707	564	232
708	564	231
709	565	230
710	565	229
711	566	229
712	566	228
713	567	227
714	567	226
715	568	225
716	568	224
717	569	223
718	569	222
719	570	221
720	571	220
721	571	220
722	572	219
723	572	218
724	573	217
725	574	216
726	574	215
727	575	215
728	576	214
729	576	213
730	577	212
731	577	211
732	578	210
733	579	209
734	579	208
735	580	208
736	580	207
737	581	206
738	581	205
739	582	204
740	582	203
741	583	202
742	583	201
743	584	201
744	585	200
745	585	199
746	586	198
747	587	197
748	587	196
749	588	196
750	589	195
751	589	194
752	590	193
753	590	192
754	591	191
755	592	191
756	592	190
757	593	189
758	593	188
759	594	187
760	594	186
761	595	185
762	595	185
763	596	184
764	596	183
765	597	182
766	597	181
767	598	180
768	599	179
769	599	179
770	600	178
771	600	177
772	601	176
773	602	175
774	602	175
775	603	174
776	604	173
777	604	172
